x,y
3.0474198047419803, 20.782122905027933
3.7726638772663876, 16.75977653631285
4.609483960948396, 13.743016759776536
5.557880055788005, 11.396648044692737
6.95258019525802, 9.050279329608937
8.737796373779638, 8.938547486033519
10.132496513249652, 8.938547486033519
11.192468619246862, 8.491620111731843
12.838214783821478, 7.374301675977653
15.0139470013947, 6.256983240223463
16.715481171548117, 5.58659217877095
18.11018131101813, 5.251396648044692
19.393305439330543, 4.804469273743017
21.15062761506276, 4.4692737430167595
22.517433751743376, 4.134078212290502
25.0278940027894, 3.6871508379888267
