x,y
2.99163179916318, 4.022346368715084
4.191073919107392, 3.4636871508379885
5.306834030683403, 2.346368715083799
6.199442119944212, 1.1173184357541899
7.00836820083682, 0.11173184357541899
8.235704323570433, -0.11173184357541899
9.435146443514643, -0.11173184357541899
10.076708507670851, 1.5642458100558658
10.774058577405857, 3.0167597765363126
11.248256624825663, 3.5754189944134076
12.168758716875871, 6.033519553072625
13.312412831241284, 8.491620111731843
15.0418410041841, 11.396648044692737
16.743375174337515, 13.631284916201116
18.668061366806135, 16.089385474860336
20.955369595536958, 18.65921787709497
23.13110181311018, 21.11731843575419
25.0836820083682, 23.01675977653631
